False,https://www.forebet.com/images/fc/fi.png,FC Lahti - Atlantis FC,X,8.00,False,4 - 2,16:30
False,https://www.forebet.com/images/fc/fi.png,JäPS - AC Oulu,2,1.40,False,0 - 1,16:30
False,https://www.forebet.com/images/fc/494.png,Italy U21 - Ireland U21,1,-,False,4 - 1,16:30
False,https://www.forebet.com/images/fc/530.png,Uzbekistan - Thailand,1,-,False,2 - 0,16:30
False,https://www.forebet.com/images/fc/253.png,Armenia - Scotland,1,6.00,False,1 - 4,17:00
False,https://www.forebet.com/images/fc/253.png,Moldova - Andorra,X,3.50,False,2 - 1,17:00
False,https://www.forebet.com/images/fc/tz.png,Kagera Sugar - Biashara United,1,2.20,False,0 - 0,17:00
False,https://www.forebet.com/images/fc/tn.png,CA Bizertin - US Ben Guerdane,2,2.40,False,0 - 1,17:00
False,https://www.forebet.com/images/fc/494.png,Denmark U21 - Turkey U21,1,-,False,1 - 1,17:00
False,https://www.forebet.com/images/fc/494.png,Norway U21 - Azerbaijan U21,1,-,False,1 - 0,17:00
False,https://www.forebet.com/images/fc/494.png,Wales U21 - Gibraltar U21,1,-,False,2 - 0,17:00
False,https://www.forebet.com/images/fc/530.png,Jordan - Kuwait,1,2.38,False,0 - 0,17:15
False,https://www.forebet.com/images/fc/cm.png,Yong Sports - Feutcheu FC,2,-,False,0 - 0,18:00
False,https://www.forebet.com/images/fc/se.png,Täby - Örebro Syrianska IF,2,2.40,False,0 - 0,18:00
False,https://www.forebet.com/images/fc/se.png,BK Olympic Malmö - Ängelholms FF,X,3.60,False,0 - 1,18:00
False,https://www.forebet.com/images/fc/no.png,Eidsvold Turn - Kongsvinger,2,1.57,False,0 - 0,18:00
False,https://www.forebet.com/images/fc/sd.png,Hay Al Wadi - Kober Khartoum,2,-,False,,18:15
False,https://www.forebet.com/images/fc/sd.png,Al Hilal Al Sudani - Ahli Marawi,X,-,False,,18:15
False,https://www.forebet.com/images/fc/sd.png,Tuti SC - Ahli Shandi,X,-,False,,18:15
False,https://www.forebet.com/images/fc/sd.png,Al Amal Atbara - Hilal Ubayyid,X,-,False,,18:15
False,https://www.forebet.com/images/fc/ar.png,San Lorenzo - Arsenal Sarandi,1,2.30,False,,19:00
False,https://www.forebet.com/images/fc/uy.png,Plaza Colonia - Boston River,2,2.38,False,,19:00
False,https://www.forebet.com/images/fc/165.png,Costa Rica - New Zealand,1,-,False,,19:00
False,https://www.forebet.com/images/fc/br.png,Floresta/CE - Pague Menos,X,2.90,False,,19:00
False,https://www.forebet.com/images/fc/br.png,Oeste U20 - SKA Brasil U20,2,2.15,False,,19:00
False,https://www.forebet.com/images/fc/dz.png,ES Sétif - NA Hussein Dey,1,-,False,,19:45
False,https://www.forebet.com/images/fc/253.png,England - Hungary,X,5.25,False,,19:45
False,https://www.forebet.com/images/fc/253.png,Germany - Italy,X,3.60,False,,19:45
False,https://www.forebet.com/images/fc/253.png,Netherlands - Wales,1,1.30,False,,19:45
False,https://www.forebet.com/images/fc/253.png,Poland - Belgium,X,3.40,False,,19:45
False,https://www.forebet.com/images/fc/253.png,Ukraine - Ireland,1,1.80,False,,19:45
False,https://www.forebet.com/images/fc/253.png,Bosnia-Herzegovina - Finland,X,3.40,False,,19:45
False,https://www.forebet.com/images/fc/253.png,Romania - Montenegro,X,3.10,False,,19:45
False,https://www.forebet.com/images/fc/253.png,Luxembourg - Faroe Islands,X,4.20,False,,19:45
False,https://www.forebet.com/images/fc/253.png,Turkey - Lithuania,1,1.07,False,,19:45
False,https://www.forebet.com/images/fc/253.png,Liechtenstein - Latvia,X,4.50,False,,19:45
False,https://www.forebet.com/images/fc/644.png,French Guiana - Belize,1,1.25,False,,20:00
False,https://www.forebet.com/images/fc/530.png,Indonesia - Nepal,1,1.13,False,,20:15
False,https://www.forebet.com/images/fc/644.png,Bonaire - US Virgin Islands,1,1.33,False,,21:00
False,https://www.forebet.com/images/fc/644.png,Turks & Caicos Islands - Sint Maarten,2,1.53,False,,21:30
False,https://www.forebet.com/images/fc/py.png,Sportivo Ameliano - Olimpia Asunción,2,1.80,False,,22:00
False,https://www.forebet.com/images/fc/ar.png,Talleres Córdoba - Newell's Old Boys,1,1.95,False,,23:00
False,https://www.forebet.com/images/fc/ar.png,Patronato Paraná - CA Aldosivi,X,3.60,False,,23:00
False,https://www.forebet.com/images/fc/br.png,Bahia - Chapecoense SC,1,1.62,False,,23:00
False,https://www.forebet.com/images/fc/644.png,Bermuda - Montserrat,1,1.73,False,,23:00
False,https://www.forebet.com/images/fc/644.png,Haiti - Guyana,1,1.29,False,,23:00
False,https://www.forebet.com/images/fc/ca.png,Atlético Ottawa - York 9 FC,1,1.91,False,,0:00
False,https://www.forebet.com/images/fc/253.png,Netherlands - Wales,1,,False,,19:45
False,https://www.forebet.com/images/fc/br.png,Juventude - Santos FC,X,,False,,1:30
False,https://m.forebet.com/images/fc/fi.png,FC Lahti - Atlantis FC,Yes,2.25,False,4 - 2,16:30
False,https://m.forebet.com/images/fc/fi.png,JäPS - AC Oulu,No,2.00,False,0 - 1,16:30
False,https://m.forebet.com/images/fc/494.png,Italy U21 - Ireland U21,No,-,False,4 - 1,16:30
False,https://m.forebet.com/images/fc/530.png,Uzbekistan - Thailand,No,-,False,2 - 0,16:30
False,https://m.forebet.com/images/fc/253.png,Armenia - Scotland,No,1.62,False,1 - 4,17:00
False,https://m.forebet.com/images/fc/253.png,Moldova - Andorra,No,1.53,False,2 - 1,17:00
False,https://m.forebet.com/images/fc/tz.png,Kagera Sugar - Biashara United,No,-,False,0 - 0,17:00
False,https://m.forebet.com/images/fc/tn.png,CA Bizertin - US Ben Guerdane,No,-,False,0 - 1,17:00
False,https://m.forebet.com/images/fc/494.png,Denmark U21 - Turkey U21,No,-,False,1 - 1,17:00
False,https://m.forebet.com/images/fc/494.png,Norway U21 - Azerbaijan U21,Yes,-,False,1 - 0,17:00
False,https://m.forebet.com/images/fc/494.png,Wales U21 - Gibraltar U21,No,-,False,2 - 0,17:00
False,https://m.forebet.com/images/fc/530.png,Jordan - Kuwait,No,1.67,False,0 - 0,17:15
False,https://m.forebet.com/images/fc/cm.png,Yong Sports - Feutcheu FC,No,-,False,0 - 0,18:00
False,https://m.forebet.com/images/fc/se.png,Täby - Örebro Syrianska IF,No,-,False,,18:00
False,https://m.forebet.com/images/fc/se.png,BK Olympic Malmö - Ängelholms FF,Yes,1.62,False,0 - 1,18:00
False,https://m.forebet.com/images/fc/no.png,Eidsvold Turn - Kongsvinger,Yes,-,False,0 - 0,18:00
False,https://m.forebet.com/images/fc/sd.png,Hay Al Wadi - Kober Khartoum,No,-,False,,18:15
False,https://m.forebet.com/images/fc/sd.png,Al Hilal Al Sudani - Ahli Marawi,Yes,-,False,,18:15
False,https://m.forebet.com/images/fc/sd.png,Tuti SC - Ahli Shandi,Yes,-,False,,18:15
False,https://m.forebet.com/images/fc/sd.png,Al Amal Atbara - Hilal Ubayyid,Yes,-,False,,18:15
False,https://m.forebet.com/images/fc/ar.png,San Lorenzo - Arsenal Sarandi,No,1.80,False,,19:00
False,https://m.forebet.com/images/fc/uy.png,Plaza Colonia - Boston River,No,-,False,,19:00
False,https://m.forebet.com/images/fc/165.png,Costa Rica - New Zealand,No,-,False,,19:00
False,https://m.forebet.com/images/fc/br.png,Floresta/CE - Pague Menos,Yes,-,False,,19:00
False,https://m.forebet.com/images/fc/br.png,Oeste U20 - SKA Brasil U20,Yes,-,False,,19:00
False,https://m.forebet.com/images/fc/dz.png,ES Sétif - NA Hussein Dey,No,-,False,,19:45
False,https://m.forebet.com/images/fc/253.png,England - Hungary,No,1.50,False,,19:45
False,https://m.forebet.com/images/fc/253.png,Germany - Italy,No,1.83,False,,19:45
False,https://m.forebet.com/images/fc/253.png,Netherlands - Wales,No,1.67,False,,19:45
False,https://m.forebet.com/images/fc/253.png,Poland - Belgium,No,1.91,False,,19:45
False,https://m.forebet.com/images/fc/253.png,Ukraine - Ireland,No,1.67,False,,19:45
False,https://m.forebet.com/images/fc/253.png,Bosnia-Herzegovina - Finland,No,1.73,False,,19:45
True,https://m.forebet.com/images/fc/253.png,Romania - Montenegro,No,1.67,False,,19:45
True,https://m.forebet.com/images/fc/253.png,Luxembourg - Faroe Islands,Yes,2.50,False,,19:45
True,https://m.forebet.com/images/fc/253.png,Turkey - Lithuania,No,1.50,False,,19:45
False,https://m.forebet.com/images/fc/253.png,Liechtenstein - Latvia,Yes,2.25,False,,19:45
False,https://m.forebet.com/images/fc/644.png,French Guiana - Belize,No,1.53,False,,20:00
False,https://m.forebet.com/images/fc/530.png,Indonesia - Nepal,No,1.30,False,,20:15
False,https://m.forebet.com/images/fc/644.png,Bonaire - US Virgin Islands,Yes,2.00,False,,21:00
False,https://m.forebet.com/images/fc/644.png,Turks & Caicos Islands - Sint Maarten,Yes,1.62,False,,21:30
False,https://m.forebet.com/images/fc/py.png,Sportivo Ameliano - Olimpia Asunción,Yes,1.67,False,,22:00
False,https://m.forebet.com/images/fc/ar.png,Talleres Córdoba - Newell's Old Boys,Yes,1.95,False,,23:00
False,https://m.forebet.com/images/fc/ar.png,Patronato Paraná - CA Aldosivi,Yes,1.95,False,,23:00
False,https://m.forebet.com/images/fc/br.png,Bahia - Chapecoense SC,No,1.50,False,,23:00
False,https://m.forebet.com/images/fc/644.png,Bermuda - Montserrat,Yes,1.83,False,,23:00
False,https://m.forebet.com/images/fc/644.png,Haiti - Guyana,Yes,2.25,False,,23:00
False,https://m.forebet.com/images/fc/ca.png,Atlético Ottawa - York 9 FC,No,-,False,,0:00
False,https://m.forebet.com/images/fc/fi.png,FC Lahti - Atlantis FC,Over,1.36,False,4 - 2,16:30
False,https://m.forebet.com/images/fc/fi.png,JäPS - AC Oulu,Under,2.40,False,1 - 1,16:30
False,https://m.forebet.com/images/fc/494.png,Italy U21 - Ireland U21,Under,-,False,4 - 1,16:30
False,https://m.forebet.com/images/fc/530.png,Uzbekistan - Thailand,Under,-,False,2 - 0,16:30
False,https://m.forebet.com/images/fc/253.png,Armenia - Scotland,Under,1.73,False,1 - 4,17:00
False,https://m.forebet.com/images/fc/253.png,Moldova - Andorra,Under,1.57,False,2 - 1,17:00
False,https://m.forebet.com/images/fc/tz.png,Kagera Sugar - Biashara United,Under,1.36,False,0 - 0,17:00
False,https://m.forebet.com/images/fc/tn.png,CA Bizertin - US Ben Guerdane,Under,1.70,False,0 - 1,17:00
False,https://m.forebet.com/images/fc/494.png,Denmark U21 - Turkey U21,Under,-,False,1 - 1,17:00
False,https://m.forebet.com/images/fc/494.png,Norway U21 - Azerbaijan U21,Over,-,False,1 - 0,17:00
False,https://m.forebet.com/images/fc/494.png,Wales U21 - Gibraltar U21,Over,-,False,2 - 0,17:00
False,https://m.forebet.com/images/fc/530.png,Jordan - Kuwait,Under,1.50,False,0 - 0,17:15
False,https://m.forebet.com/images/fc/cm.png,Yong Sports - Feutcheu FC,Under,-,False,0 - 0,18:00
False,https://m.forebet.com/images/fc/se.png,Täby - Örebro Syrianska IF,Under,2.50,False,0 - 0,18:00
False,https://m.forebet.com/images/fc/se.png,BK Olympic Malmö - Ängelholms FF,Under,2.15,False,0 - 1,18:00
False,https://m.forebet.com/images/fc/no.png,Eidsvold Turn - Kongsvinger,Over,1.62,False,0 - 0,18:00
False,https://m.forebet.com/images/fc/sd.png,Hay Al Wadi - Kober Khartoum,Under,-,False,,18:15
False,https://m.forebet.com/images/fc/sd.png,Al Hilal Al Sudani - Ahli Marawi,Under,-,False,,18:15
False,https://m.forebet.com/images/fc/sd.png,Tuti SC - Ahli Shandi,Under,-,False,,18:15
False,https://m.forebet.com/images/fc/sd.png,Al Amal Atbara - Hilal Ubayyid,Under,-,False,,18:15
False,https://m.forebet.com/images/fc/ar.png,San Lorenzo - Arsenal Sarandi,Under,1.62,False,,19:00
False,https://m.forebet.com/images/fc/uy.png,Plaza Colonia - Boston River,Under,1.62,False,,19:00
False,https://m.forebet.com/images/fc/165.png,Costa Rica - New Zealand,Under,-,False,,19:00
False,https://m.forebet.com/images/fc/br.png,Floresta/CE - Pague Menos,Under,1.48,False,,19:00
False,https://m.forebet.com/images/fc/br.png,Oeste U20 - SKA Brasil U20,Over,2.10,False,,19:00
False,https://m.forebet.com/images/fc/dz.png,ES Sétif - NA Hussein Dey,Under,-,False,,19:45
False,https://m.forebet.com/images/fc/253.png,England - Hungary,Under,2.00,False,,19:45
False,https://m.forebet.com/images/fc/253.png,Germany - Italy,Under,1.80,False,,19:45
False,https://m.forebet.com/images/fc/253.png,Netherlands - Wales,Under,2.20,False,,19:45
False,https://m.forebet.com/images/fc/253.png,Poland - Belgium,Under,1.80,False,,19:45
False,https://m.forebet.com/images/fc/253.png,Ukraine - Ireland,Under,1.67,False,,19:45
False,https://m.forebet.com/images/fc/253.png,Bosnia-Herzegovina - Finland,Under,1.62,False,,19:45
False,https://m.forebet.com/images/fc/253.png,Romania - Montenegro,Under,1.57,False,,19:45
False,https://m.forebet.com/images/fc/253.png,Luxembourg - Faroe Islands,Under,1.67,False,,19:45
False,https://m.forebet.com/images/fc/253.png,Turkey - Lithuania,Over,1.33,False,,19:45
False,https://m.forebet.com/images/fc/253.png,Liechtenstein - Latvia,Under,1.91,False,,19:45
False,https://m.forebet.com/images/fc/644.png,French Guiana - Belize,Under,2.00,False,,20:00
False,https://m.forebet.com/images/fc/530.png,Indonesia - Nepal,Under,2.15,False,,20:15
False,https://m.forebet.com/images/fc/644.png,Bonaire - US Virgin Islands,Over,1.73,False,,21:00
False,https://m.forebet.com/images/fc/644.png,Turks & Caicos Islands - Sint Maarten,Over,1.57,False,,21:30
False,https://m.forebet.com/images/fc/py.png,Sportivo Ameliano - Olimpia Asunción,Over,1.75,False,,22:00
False,https://m.forebet.com/images/fc/ar.png,Talleres Córdoba - Newell's Old Boys,Over,2.25,False,,23:00
False,https://m.forebet.com/images/fc/ar.png,Patronato Paraná - CA Aldosivi,Under,1.67,False,,23:00
False,https://m.forebet.com/images/fc/br.png,Bahia - Chapecoense SC,Under,1.50,False,,23:00
False,https://m.forebet.com/images/fc/644.png,Bermuda - Montserrat,Over,1.95,False,,23:00
False,https://m.forebet.com/images/fc/644.png,Haiti - Guyana,Over,1.80,False,,23:00
False,https://m.forebet.com/images/fc/ca.png,Atlético Ottawa - York 9 FC,Under,1.65,False,,0:00
